	Protein	Percentage_reloc_less
257	DIP5	96.47532729103726
258	YMR291W	96.51162790697676
259	RFA1d0210	96.51162790697676
260	YDR170W-A	96.53979238754326
261	SLD3	96.62775616083009
262	PEX29	96.64268585131894
263	REV1	96.73518742442565
264	DDC2d0218r2p80KO	96.74523007856341
265	LSM3d0210r1	96.79611650485437
266	ULP2	96.83098591549296
267	LSM3d0214r1	96.88888888888889
268	RTR2d0215r2	96.89473684210526
269	MSB1	96.91474625362045
270	CHK1	96.93486590038314
271	PKP2	96.95431472081218
272	RFC3	97.01219512195122
273	HAA1	97.06601466992664
274	MMS21	97.1291866028708
275	RSF2	97.15678310316815
276	DDC2d0218r2p110KO	97.17223650385604
277	ZIP2	97.24137931034483
278	AME1	97.26992514310876
279	TOS4	97.27272727272728
280	YDL111C	97.2972972972973
281	KTR1	97.32283464566929
282	LSM1	97.32441471571906
283	DDC2d0218r2p20KO	97.41100323624595
284	EDC1	97.4785100286533
285	TUB1	97.51243781094527
286	ASE1	97.51724137931035
287	CDC6	97.61904761904762
288	DCP1	97.63928234183192
289	MRE11	97.6470588235294
290	NEJ1	97.70114942528735
291	PXL1	97.71825396825396
292	ATG18	97.72727272727273
293	MSH3	97.76032577079697
294	DDC2d0224r1	97.8021978021978
295	POL30	97.93103448275862
296	TSR1	98.01980198019803
297	PPH22d0210	98.04469273743017
298	BTN2	98.08630393996248
299	DSF2	98.09203142536475
300	APJ1	98.10326659641728
301	DDC2d0214r1	98.11320754716981
302	OPY2	98.11320754716981
303	DOA1	98.1203007518797
304	SGS1	98.24561403508771
305	RAD24	98.3600583090379
306	SFH5	98.40425531914893
307	FUI1	98.72315728380731
308	LCD1	98.77750611246944
309	YDL129W	98.7782388197326
310	GCD8	98.80952380952381
311	CLB3	98.81889763779527
312	SLD2	98.9795918367347
313	YLR297W	99.34792734047508
314	RAD5	99.3533215755438
315	ATG29	99.35483870967742
316	FLR1	99.73753280839895
318	SRP68	100.0
319	LAP4	100.0
321	MSB3	100.0
322	RAD53	100.0
323	FGV2	100.0
